geometry_id,system,transfer_distance_angstrom,fixed_donor_distance_angstrom,taper_inner_angstrom,taper_outer_angstrom,base_relative_eV,qm_relative_eV,residual_target_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,base_force_max_eV_per_angstrom
formaldehyde_dense_transfer_0018,formaldehyde,1.2,1.3857142857,0.9268,1.186304,0.6872614343899475,0.40013381543303694,-0.2871276189569105,-14.602632108078959,0.0,0.01153320340360146,5.965349121100451
formaldehyde_dense_transfer_0019,formaldehyde,1.22,1.3857142857,0.9268,1.186304,0.6872614343899475,0.42131399682421034,-0.26594743756573713,-14.602632108078959,0.0,0.01153320340360146,5.965349121100451
formaldehyde_dense_transfer_0020,formaldehyde,1.24,1.3857142857,0.9268,1.186304,0.6872614343899475,0.441934056012542,-0.24532737837740548,-14.602632108078959,0.0,0.01153320340360146,5.965349121100451
formaldehyde_dense_transfer_0021,formaldehyde,1.26,1.3857142857,0.9268,1.186304,0.6872614343899475,0.46190379924837544,-0.22535763514157203,-14.602632108078959,0.0,0.01153320340360146,5.965349121100451
formaldehyde_dense_transfer_0022,formaldehyde,1.28,1.3857142857,0.9268,1.186304,0.6872614343899475,0.48115061630096534,-0.20611081808898213,-14.602632108078959,0.0,0.01153320340360146,5.965349121100451
methane_dense_transfer_0000,methane,0.84,1.3857142857,0.9268,1.186304,4.040787033488979,0.7020862486153874,-3.3387007848735912,-21.711067114909294,7.568896012688905,7.63065960303854e-06,9.779566503677252
methane_dense_transfer_0001,methane,0.86,1.3857142857,0.9268,1.186304,4.097146341696899,0.6798891412327066,-3.417257200464192,-21.654707806701374,7.568896012688905,7.63065960303854e-06,10.132683249259037
methane_dense_transfer_0002,methane,0.88,1.3857142857,0.9268,1.186304,4.16007231632976,0.6643094526446021,-3.495762863685158,-21.591781832068516,7.568896012688905,7.63065960303854e-06,10.43703130996661
methane_dense_transfer_0003,methane,0.9,1.3857142857,0.9268,1.186304,4.228636114985367,0.654418045719467,-3.5742180692659,-21.52321803341291,7.568896012688905,7.63065960303854e-06,10.697197000959603
methane_dense_transfer_0004,methane,0.92,1.3857142857,0.9268,1.186304,4.301996721272467,0.6493844534306845,-3.652612267841782,-21.44985742712581,7.568896012688905,7.63065960303854e-06,10.917381949660664
