step,time_fs,old_total_eV,new_total_eV,old_drift_eV,new_drift_eV,max_position_difference_A,max_velocity_difference_A_per_fs,max_force_difference_eV_per_A,energy_difference_eV,old_capped_steps,new_capped_steps
760,37.99999999999998,-3.6580243365779817,-3.6580243365779817,0.0001788043220387614,0.0001788043220387614,0.0,0.0,0.0,0.0,0,0
770,38.49999999999995,-3.6580440469759132,-3.6580440469759132,0.0001590939241071787,0.0001590939241071787,0.0,0.0,0.0,0.0,0,0
780,38.99999999999992,-3.658284013836317,-3.658284013836317,-8.087293629666092e-05,-8.087293629666092e-05,0.0,0.0,0.0,0.0,0,0
790,39.49999999999989,-3.6582196414736683,-3.6582196414736683,-1.6500573647881822e-05,-1.6500573647881822e-05,0.0,0.0,0.0,0.0,0,0
800,39.999999999999865,-3.657962854811738,-3.657962854811738,0.00024028608828219333,0.00024028608828219333,0.0,0.0,0.0,0.0,0,0
810,40.49999999999984,-3.657875964468594,-3.657875964468594,0.0003271764314263237,0.0003271764314263237,0.0,0.0,0.0,0.0,0,0
820,40.99999999999981,-3.6580349867111894,-3.6580349867111894,0.00016815418883098232,0.00016815418883098232,0.0,0.0,0.0,0.0,0,0
830,41.49999999999978,-3.658279725744357,-3.658279725744357,-7.658484433648027e-05,-7.658484433648027e-05,0.0,0.0,0.0,0.0,0,0
840,41.99999999999975,-3.6580234870744857,-3.6580234870744857,0.0001796538255347535,0.0001796538255347535,0.0,0.0,0.0,0.0,0,0
850,42.49999999999972,-3.658005558360339,-3.658005558360339,0.00019758253968138462,0.00019758253968138462,0.0,0.0,0.0,0.0,0,0
860,42.999999999999694,-3.6579861311990802,-3.6579861311990802,0.000217009700940185,0.000217009700940185,0.0,0.0,0.0,0.0,0,0
870,43.499999999999666,-3.657972783795315,-3.657972783795315,0.00023035710470553639,0.00023035710470553639,0.0,0.0,0.0,0.0,0,0
880,43.99999999999964,-3.657971637036011,-3.657971637036011,0.00023150386400949685,0.00023150386400949685,0.0,0.0,0.0,0.0,0,0
