geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,hard_valence_energy_eV,over_delta_eV,angle_delta_eV,original_heavy_over_eV,selected_heavy_over_eV,original_heavy_angle_eV,selected_heavy_angle_eV,qm_relative_eV,hstate_relative_eV,hard_valence_relative_eV,hstate_residual_eV,hard_valence_residual_eV
formaldehyde_dense_transfer_0018,formaldehyde,dense_transfer_scan,transfer_microscope,1.2,1.3857142857,-3128.311969440319,-14.59109890467536,-14.59109890467536,0.0,0.0,0.0,0.0,0.01153320340360146,0.01153320340360146,0.40013381543303694,0.6872614343899457,0.6872614343899457,-0.28712761895690875,-0.28712761895690875
formaldehyde_dense_transfer_0019,formaldehyde,dense_transfer_scan,transfer_microscope,1.22,1.3857142857,-3128.290789258928,-14.59109890467536,-14.59109890467536,0.0,0.0,0.0,0.0,0.01153320340360146,0.01153320340360146,0.42131399682421034,0.6872614343899457,0.6872614343899457,-0.26594743756573536,-0.26594743756573536
formaldehyde_dense_transfer_0020,formaldehyde,dense_transfer_scan,transfer_microscope,1.24,1.3857142857,-3128.2701691997395,-14.59109890467536,-14.59109890467536,0.0,0.0,0.0,0.0,0.01153320340360146,0.01153320340360146,0.441934056012542,0.6872614343899457,0.6872614343899457,-0.2453273783774037,-0.2453273783774037
formaldehyde_dense_transfer_0021,formaldehyde,dense_transfer_scan,transfer_microscope,1.26,1.3857142857,-3128.2501994565037,-14.59109890467536,-14.59109890467536,0.0,0.0,0.0,0.0,0.01153320340360146,0.01153320340360146,0.46190379924837544,0.6872614343899457,0.6872614343899457,-0.22535763514157026,-0.22535763514157026
formaldehyde_dense_transfer_0022,formaldehyde,dense_transfer_scan,transfer_microscope,1.28,1.3857142857,-3128.230952639451,-14.59109890467536,-14.59109890467536,0.0,0.0,0.0,0.0,0.01153320340360146,0.01153320340360146,0.48115061630096534,0.6872614343899457,0.6872614343899457,-0.20611081808898035,-0.20611081808898035
methane_reactant_reference_0000,methane,reactant_reference,reactant_reference,5.0,1.09,-1115.7861627576292,-18.182950505049764,-18.182950505049764,0.0,0.0,0.0,0.0,8.169392464493623e-09,8.169392464493623e-09,0.0,0.0,0.0,0.0,0.0
methane_product_reference_0000,methane,product_reference,product_reference,0.74144,5.0,-1115.2449136524867,-18.127770065517772,-18.127770065517772,0.0,0.0,0.0,0.0,0.022070392593446488,0.022070392593446488,0.5412491051424695,0.055180439531991254,0.055180439531991254,0.48606866561047823,0.48606866561047823
methane_dense_transfer_0000,methane,dense_transfer_scan,transfer_microscope,0.84,1.3857142857,-1115.0840765090138,-17.779771549267863,-17.779771549267863,0.0,0.0,0.0,0.0,7.63065960303854e-06,7.63065960303854e-06,0.7020862486153874,0.40317895578190033,0.40317895578190033,0.29890729283348705,0.29890729283348705
methane_dense_transfer_0001,methane,dense_transfer_scan,transfer_microscope,0.86,1.3857142857,-1115.1062736163965,-17.805657540714865,-17.805657540714865,0.0,0.0,0.0,0.0,7.63065960303854e-06,7.63065960303854e-06,0.6798891412327066,0.3772929643348988,0.3772929643348988,0.3025961768978078,0.3025961768978078
methane_dense_transfer_0002,methane,dense_transfer_scan,transfer_microscope,0.88,1.3857142857,-1115.1218533049846,-17.82884337745182,-17.82884337745182,0.0,0.0,0.0,0.0,7.63065960303854e-06,7.63065960303854e-06,0.6643094526446021,0.3541071275979455,0.3541071275979455,0.31020232504665657,0.31020232504665657
