geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
h3_jitter_0008,h3,train,jitter,reactant_like,0.80222518,1.6271003067,-4.4538510393215685,-4.4538510393215685,0.0,0.0,0.0,1.4852882255468574,1.8190991367768274
h3_jitter_0009,h3,train,jitter,product_like,1.4852595124,0.8350791487,-4.381767350235258,-4.381767350235258,0.0,0.0,0.0,2.0757129889060058,2.542218837643537
h3_jitter_0010,h3,train,jitter,off_path,0.7257756341,1.0381119726,-3.8137945886620943,-6.714577878636435,2.9007832899743407,0.0,0.0,25.918501519348112,32.03388351134751
h3_jitter_0011,h3,train,jitter,off_path,1.2371748947,1.2523812419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0012,h3,train,jitter,off_path,0.9674889088,1.2992509053,-3.6540722106602765,-3.6540722106602765,0.0,0.0,0.0,13.26552891593724,16.24688850609096
h3_jitter_0013,h3,train,jitter,transfer_region,1.6306707845,1.020834935,-2.5653678539597347,-2.5653678539597347,0.0,0.0,0.0,18.742768318906606,22.95510937426162
h3_jitter_0014,h3,train,jitter,off_path,1.0826675896,1.4946280189,-1.1639910478442248,-1.1639910478442248,0.0,0.0,0.0,16.898416908119906,20.696249442856768
h3_jitter_0015,h3,train,jitter,off_path,1.3940009406,1.3557365062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0016,h3,train,jitter,transfer_region,1.2639751014,1.1501564411,-0.14654046513254734,-0.14654046513254734,0.0,0.0,0.0,6.680684868916484,8.182134530588854
h3_jitter_0017,h3,train,jitter,transfer_region,1.6405606367,1.2055768333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0018,h3,train,jitter,transfer_region,1.2861261402,1.1412018503,-0.22890648671851305,-0.22890648671851305,0.0,0.0,0.0,8.333688813497748,10.206642634104824
h3_jitter_0019,h3,train,jitter,off_path,1.4212309142,0.7444735966,-4.512463515728782,-4.512463515728782,0.0,0.0,0.0,0.08804579607582352,0.10783363719145456
h3_jitter_0020,h3,train,jitter,off_path,1.1805312334,1.3166491987,-0.0036338307189294743,-0.0036338307189294743,0.0,0.0,0.0,1.031873999625732,1.2637823889639417
h3_jitter_0021,h3,train,jitter,transfer_region,1.5390874696,0.9456108861,-3.9478212504581576,-3.9478212504581576,0.0,0.0,0.0,8.390208004254356,10.275864223119182
h3_jitter_0022,h3,train,jitter,transfer_region,0.8979043689,1.1834997506,-4.189449904177617,-4.18945054976397,6.455863529968553e-07,0.0,0.0,2.668038945402217,3.5294557666376942
h3_jitter_0023,h3,train,jitter,transfer_region,1.1292056095,1.1349403129,-0.6645361095337303,-0.6645361095337303,0.0,0.0,0.0,10.010528648696662,12.828340245588565
water_reactant_reference_0000,water,train,reactant_reference,reactant_reference,0.96,5.0,-15.151074770159095,-15.483712552842206,0.0002882458339143695,0.3323495368491969,0.0,1.1943373051199262,1.6767316312345555
water_product_reference_0000,water,train,product_reference,product_reference,5.0,0.96,-15.151074770159095,-15.483712552842208,0.0002882458339143992,0.3323495368491975,-1.7763568394002505e-15,1.1943373051199433,1.6767316312345568
water_grid_0000,water,train,grid,transfer_region,0.9,0.9,14.414902621777149,-21.90304394232505,26.02362174410928,10.294324819992912,-3.552713678800501e-15,51.6488296812753,86.99913237968421
water_grid_0001,water,train,grid,transfer_region,0.9,1.0285714286,10.814603198028978,-21.371537004374968,22.671441863875593,9.514698338528351,-1.7763568394002505e-15,48.38936796061213,59.40991119473508
water_grid_0002,water,train,grid,off_path,0.9,1.1571428571,1.2077438722735638,-20.492888396349112,15.337504292029099,6.363127976593578,4.440892098500626e-16,60.72925340811823,84.76442920180392
water_grid_0003,water,train,grid,off_path,0.9,1.2857142857,-8.891161666618597,-18.95971020980594,7.298557577056165,2.769990966131183,3.552713678800501e-15,44.734957964051475,74.24732156797761
water_grid_0004,water,train,grid,reactant_like,0.9,1.4142857143,-14.853512021471428,-16.52584983150625,1.1014744116959787,0.5708633983388449,1.7763568394002505e-15,11.151494909790115,16.274230619072142
water_grid_0005,water,train,grid,reactant_like,0.9,1.5428571429,-15.188998594541788,-15.614664558727688,0.09331642733670367,0.3323495368491969,1.7763568394002505e-15,1.7100798629650953,2.517050313852128
water_grid_0006,water,train,grid,reactant_like,0.9,1.6714285714,-15.188998594541788,-15.614664558727688,0.09331642733670367,0.3323495368491969,1.7763568394002505e-15,1.7100798629650953,2.517050313852128
water_grid_0007,water,train,grid,reactant_like,0.9,1.8,-15.188998594541788,-15.614664558727688,0.09331642733670367,0.3323495368491969,1.7763568394002505e-15,1.7100798629650953,2.517050313852128
water_grid_0008,water,train,grid,transfer_region,1.0285714286,0.9,10.814603198028975,-21.371537004374968,22.671441863875593,9.514698338528351,1.7763568394002505e-15,48.38936796061213,59.40991119473508
water_grid_0009,water,train,grid,transfer_region,1.0285714286,1.0285714286,-0.3770548638161957,-20.779534474052582,14.03935163364281,6.363127976593578,8.881784197001252e-16,49.677811562479455,78.49338725684956
water_grid_0010,water,train,grid,transfer_region,1.0285714286,1.1571428571,-8.24270540383538,-20.001774977411444,8.796090119425568,2.9629794541504992,3.552713678800501e-15,23.802831916508936,38.710243117000836
