x_A,hstate_energy_eV,hard_energy_eV,smooth_energy_eV,oo_taper_01,oo_taper_10,hard_oo_membership_01,hard_oo_membership_10,smooth_oo_membership_01,smooth_oo_membership_10,hard_o0_h1,hard_o0_h2,hard_o1_h1,hard_o1_h2,smooth_o0_h1,smooth_o0_h2,smooth_o1_h1,smooth_o1_h2,hard_over_delta_eV,hard_angle_delta_eV,smooth_over_delta_eV,smooth_angle_delta_eV
1.142,-10.119581543640788,-14.150444622496863,-14.126306426320829,0.29701229611531055,0.29701229611531055,0.0,0.0,0.008908743130693134,0.01291790211703639,1.0,1.0,1.0,1.0,0.9960862178693389,0.995005038999968,0.995513608505565,0.9915684893773987,-1.3722928257036249,-2.658570253152452,-1.3722928257036249,-2.634432056976417
1.1429999999999998,-10.17333642206767,-14.154379443649473,-14.130776621505364,0.29423539261587517,0.29423539261587517,0.0,0.0,0.00879031693620213,0.012796335933938988,1.0,1.0,1.0,1.0,0.9961378223625595,0.9950718607012383,0.9955638353759911,0.9916398286900697,-1.346752397262182,-2.6342906243196205,-1.346752397262182,-2.61068780217551
1.144,-10.226710607154665,-14.158308753502347,-14.135239082021103,0.2914661090108226,0.2914661090108226,0.0,0.0,0.008670620749294441,0.01267185835143985,1.0,1.0,1.0,1.0,0.9961900055343418,0.9951393737163639,0.9956149233956865,0.9917132182528738,-1.32152097647089,-2.6100771698767917,-1.32152097647089,-2.587007498395549
1.1449999999999998,-10.279704530033701,-14.162232538306496,-14.139693608149244,0.28870454785252425,0.28870454785252425,0.0,0.0,0.008549687836127983,0.01254447926733544,1.0,1.0,1.0,1.0,0.9962427528608014,0.9952075593030704,0.9956668652390354,0.9917886554936292,-1.2965975149295637,-2.5859304933432306,-1.2965975149295637,-2.56339156318598
1.146,-10.332318651526514,-14.166150784390355,-14.14413998214175,0.2859508114073721,0.2859508114073721,0.0,0.0,0.00842755947008015,0.012414221125128633,1.0,1.0,1.0,1.0,0.9962960462293774,0.9952763943005425,0.9957196490681307,0.9918661298067406,-1.2719809319667785,-2.5618512008970638,-1.2719809319667785,-2.5398403986484577
1.1469999999999998,-10.384553461773848,-14.170063478163158,-14.148577970445643,0.28320500165199813,0.28320500165199813,0.0,0.0,0.008304284445005692,0.01228111847032862,1.0,1.0,1.0,1.0,0.9963498641546362,0.9953458514003581,0.9957732587276,0.9919456228020715,-1.2476701149767788,-2.537839901412531,-1.2476701149767788,-2.516354393695017
1.148,-10.43640947986306,-14.173970606118306,-14.153007325911506,0.2804672202694839,0.2804672202694839,0.0,0.0,0.008179918569764457,0.012145217463271261,1.0,1.0,1.0,1.0,0.9964041820026982,0.9954158994275374,0.9958276739538952,0.9920271085828336,-1.2236639197603714,-2.5138972064948737,-1.2236639197603714,-2.4929339262880745
1.1489999999999998,-10.487887253452847,-14.177872154836466,-14.157427789975841,0.2777375686456116,0.2777375686456116,0.0,0.0,0.008054524146675133,0.012006575350938804,1.0,1.0,1.0,1.0,0.9964589722230878,0.9954865036302372,0.9958828705979889,0.9921105540510724,-1.1999611708703068,-2.490023730513313,-1.1999611708703068,-2.469579365652687
1.15,-10.538987358396499,-14.18176811098854,-14.16183909480719,0.2750161478650974,0.2750161478650974,0.0,0.0,0.007928169436839043,0.011865259900847254,1.0,1.0,1.0,1.0,0.9965142045866887,0.995557625976472,0.9959388208602105,0.9921959192389422,-1.1765606619604827,-2.4662200906315572,-1.1765606619604827,-2.446291074450208
1.1509999999999998,-10.5897103983629,-14.185658461338507,-14.166240965405596,0.272303058707851,0.272303058707851,0.0,0.0,0.007800928115508793,0.011721348800597827,1.0,1.0,1.0,1.0,0.9965698464283758,0.9956292254561154,0.9959954935357748,0.9922831576636274,-1.1534611561393682,-2.442486906836239,-1.1534611561393682,-2.4230694109033277
