geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,qm_energy_eV,base_reference_eV,qm_reference_eV,base_relative_eV,qm_relative_eV,residual_target_eV,base_force_max_eV_per_angstrom
formaldehyde_grid_0011,formaldehyde,train,grid,transfer_region,1.1285714286,1.0571428571,-15.092770067477002,-3128.329170637581,-15.278360339065305,-3128.712103255751,0.18559027158830332,0.38293261817034363,0.1973423465820403,24.090026736018473
formaldehyde_grid_0012,formaldehyde,train,grid,transfer_region,1.1285714286,1.1928571429,-15.25810348458829,-3128.4371983669853,-15.278360339065305,-3128.712103255751,0.020256854477015196,0.27490488876583186,0.25464803428881666,1.2424897462168611
formaldehyde_grid_0013,formaldehyde,train,grid,reactant_like,1.1285714286,1.3285714286,-15.25810348458829,-3128.496868736053,-15.278360339065305,-3128.712103255751,0.020256854477015196,0.21523451969824237,0.19497766522122717,1.2424897462168611
formaldehyde_grid_0014,formaldehyde,train,grid,reactant_like,1.1285714286,1.4642857143,-15.25810348458829,-3128.536856910342,-15.278360339065305,-3128.712103255751,0.020256854477015196,0.17524634540905026,0.15498949093203507,1.2424897462168611
formaldehyde_grid_0015,formaldehyde,train,grid,reactant_like,1.1285714286,1.6,-15.25810348458829,-3128.56855030642,-15.278360339065305,-3128.712103255751,0.020256854477015196,0.14355294933102414,0.12329609485400894,1.2424897462168611
formaldehyde_grid_0016,formaldehyde,train,grid,off_path,1.2571428571,0.65,-11.568559284064623,-3127.2393013655674,-15.278360339065305,-3128.712103255751,3.709801055000682,1.4728018901837459,-2.236999164816936,6.957986669285093
formaldehyde_grid_0017,formaldehyde,train,grid,off_path,1.2571428571,0.7857142857,-11.716798864273953,-3128.1188103585064,-15.278360339065305,-3128.712103255751,3.561561474791352,0.5932928972447371,-2.968268577546615,2.8901569793591606
formaldehyde_grid_0018,formaldehyde,train,grid,transfer_region,1.2571428571,0.9214285714,-11.338788677931515,-3128.4199332652756,-15.278360339065305,-3128.712103255751,3.9395716611337903,0.292169990475486,-3.6474016706583043,3.789257908041938
formaldehyde_grid_0019,formaldehyde,train,grid,transfer_region,1.2571428571,1.0571428571,-14.84904541269473,-3128.484529130423,-15.278360339065305,-3128.712103255751,0.42931492637057467,0.22757412532791932,-0.20174080104265535,25.80126451159421
formaldehyde_grid_0020,formaldehyde,train,grid,transfer_region,1.2571428571,1.1928571429,-15.014378827841599,-3128.4680848211483,-15.278360339065305,-3128.712103255751,0.2639815112237063,0.2440184346028218,-0.01996307662088448,2.8901569793591606
formaldehyde_grid_0021,formaldehyde,train,grid,off_path,1.2571428571,1.3285714286,-15.014378827841599,-3128.4372089114554,-15.278360339065305,-3128.712103255751,0.2639815112237063,0.274894344295717,0.010912833072010741,2.8901569793591606
formaldehyde_grid_0022,formaldehyde,train,grid,off_path,1.2571428571,1.4642857143,-15.014378827841599,-3128.415017531277,-15.278360339065305,-3128.712103255751,0.2639815112237063,0.2970857244740728,0.0331042132503665,2.8901569793591606
formaldehyde_grid_0023,formaldehyde,train,grid,off_path,1.2571428571,1.6,-15.014378827841599,-3128.4056848795103,-15.278360339065305,-3128.712103255751,0.2639815112237063,0.30641837624079926,0.042436865017092984,2.8901569793591606
formaldehyde_grid_0024,formaldehyde,train,grid,off_path,1.3857142857,0.65,-11.346511688300271,-3127.7277421793287,-15.278360339065305,-3128.712103255751,3.9318486507650334,0.984361076422374,-2.9474875743426594,8.234331845382203
formaldehyde_grid_0025,formaldehyde,train,grid,off_path,1.3857142857,0.7857142857,-11.494751268280808,-3128.424933532996,-15.278360339065305,-3128.712103255751,3.7836090707844967,0.2871697227551522,-3.4964393480293445,9.830536920409711
formaldehyde_grid_0026,formaldehyde,train,grid,transfer_region,1.3857142857,0.9214285714,-11.116741081617022,-3128.555746745813,-15.278360339065305,-3128.712103255751,4.161619257448283,0.15635650993817762,-4.0052627475101055,12.227664391774336
formaldehyde_grid_0027,formaldehyde,train,grid,transfer_region,1.3857142857,1.0571428571,-14.520980572931341,-3128.4665027403767,-15.278360339065305,-3128.712103255751,0.7573797661339636,0.2456005153744627,-0.5117792507595009,21.889695018512548
formaldehyde_grid_0028,formaldehyde,train,grid,transfer_region,1.3857142857,1.1928571429,-14.591098904675357,-3128.319649157309,-15.278360339065305,-3128.712103255751,0.6872614343899475,0.3924540984421583,-0.2948073359477892,5.965349121100451
formaldehyde_grid_0029,formaldehyde,train,grid,off_path,1.3857142857,1.3285714286,-14.591098904675357,-3128.1875426028714,-15.278360339065305,-3128.712103255751,0.6872614343899475,0.5245606528796998,-0.1627007815102477,5.965349121100451
formaldehyde_grid_0030,formaldehyde,train,grid,off_path,1.3857142857,1.4642857143,-14.591098904675357,-3128.093295902455,-15.278360339065305,-3128.712103255751,0.6872614343899475,0.6188073532962335,-0.06845408109371398,5.965349121100451
formaldehyde_grid_0031,formaldehyde,train,grid,off_path,1.3857142857,1.6,-14.591098904675357,-3128.0361297713916,-15.278360339065305,-3128.712103255751,0.6872614343899475,0.6759734843594742,-0.011287950030473226,5.965349121100451
formaldehyde_grid_0032,formaldehyde,train,grid,product_like,1.5142857143,0.65,-14.331617155018849,-3128.080689555933,-15.278360339065305,-3128.712103255751,0.946743184046456,0.6314136998180402,-0.3153294842284158,25.591750095438005
formaldehyde_grid_0033,formaldehyde,train,grid,product_like,1.5142857143,0.7857142857,-14.479856735183906,-3128.6390608806914,-15.278360339065305,-3128.712103255751,0.7985036038813984,0.07304237505968558,-0.7254612288217128,26.659949195331283
formaldehyde_grid_0034,formaldehyde,train,grid,transfer_region,1.5142857143,0.9214285714,-14.10184654856439,-3128.6312755219997,-15.278360339065305,-3128.712103255751,1.1765137905009144,0.08082773375144825,-1.0956860567494662,29.057550175654278
formaldehyde_grid_0035,formaldehyde,train,grid,transfer_region,1.5142857143,1.0571428571,-14.758640759516782,-3128.4061646909017,-15.278360339065305,-3128.712103255751,0.5197195795485232,0.3059385648493844,-0.2137810146991388,11.134202789554934
formaldehyde_grid_0036,formaldehyde,train,grid,transfer_region,1.5142857143,1.1928571429,-13.139814873231838,-3128.132035557889,-15.278360339065305,-3128.712103255751,2.1385454658334666,0.5800676978619776,-1.558477767971489,14.308603017140939
formaldehyde_grid_0037,formaldehyde,train,grid,off_path,1.5142857143,1.3285714286,-13.139814873231838,-3127.891016977442,-15.278360339065305,-3128.712103255751,2.1385454658334666,0.8210862783089397,-1.317459187524527,14.308603017140939
