pair,element_a,element_b,orientation,distance_A,exch10_hartree,exch10_eV,exch10_s2_hartree,exch10_s2_eV,exact_to_s2_ratio,status
N-N,N,N,T,2.9,0.005460645720245191,0.14859173984609322,0.005436663011387839,0.14793913709215073,1.0044112921487165,ok
N-N,N,N,T,3.2,0.0018467348001617095,0.05025221394110774,0.0018437050640630792,0.050169770621904496,1.001643286747802,ok
N-N,N,N,side,1.85,0.33842117468754096,9.208909298243654,0.2977366140220125,8.101826003725629,1.136646145450289,ok
N-N,N,N,side,2.1,0.14753249144728559,4.014563608605009,0.13788439556007753,3.7520255448798623,1.0699723550878844,ok
N-N,N,N,side,2.35,0.06348935167038942,1.72763327081033,0.06133544042135503,1.6690223598732767,1.03511691175995,ok
N-N,N,N,side,2.6,0.027000276565581873,0.7347149543745467,0.026541851187675457,0.7222405643513722,1.01727179369159,ok
N-N,N,N,side,2.9,0.009509990037059565,0.25878001209392554,0.009442504321420617,0.2569436322195872,1.0071470145357364,ok
N-N,N,N,side,3.2,0.003304433766771912,0.08991822355191552,0.0032950934013178945,0.08966405925986756,1.0028346284358076,ok
N-O,N,O,end,1.8,0.17793160786553752,4.841765706998817,0.1635861759473936,4.451406618208679,1.087693424184921,ok
N-O,N,O,end,2.05,0.07025547806618335,1.9117489495554532,0.0676935934222264,1.8420365169910753,1.0378453043255904,ok
N-O,N,O,end,2.3,0.02728062977188268,0.7423437537564991,0.02684935479669164,0.7306081638283468,1.0160627686756996,ok
N-O,N,O,end,2.55,0.01042371105291801,0.28364362757752626,0.010354384067020673,0.28175714418700365,1.006695423450454,ok
N-O,N,O,end,2.85,0.00322190857450602,0.0876725986701439,0.0032145591771533645,0.08747261138010556,1.0022862846653715,ok
N-O,N,O,end,3.1,0.0011998148814687407,0.03264862616333021,0.001198719196237575,0.032618811049300936,1.0009140466212645,ok
N-O,N,O,T,1.8,0.2307836889346356,6.279944098874316,0.2070151834308588,5.633170115121154,1.1148152763959716,ok
N-O,N,O,T,2.05,0.09819732315686383,2.6720852887435234,0.09311935593756318,2.5339067613946678,1.0545318120832519,ok
N-O,N,O,T,2.3,0.04131152242590209,1.1241437931410168,0.040280135607076994,1.0960783280449464,1.0256053462402912,ok
N-O,N,O,T,2.55,0.017178539647010126,0.4674518774768109,0.01697738470153984,0.4619781725603283,1.0118484059239137,ok
N-O,N,O,T,2.85,0.005897646284257545,0.16048313098314798,0.005870677132323864,0.15974926297315387,1.0045938741521296,ok
N-O,N,O,T,3.1,0.00239642489776549,0.06521004350259904,0.0023915460923444568,0.0650772844438683,1.0020400214892993,ok
N-O,N,O,side,1.8,0.3753014898985532,10.212473800324295,0.32816458542367904,8.929813286218254,1.1436379992497294,ok
N-O,N,O,side,2.05,0.16528809316686827,4.497718145026502,0.1537689375887901,4.18426595336379,1.0749121100705188,ok
N-O,N,O,side,2.3,0.07173964924209726,1.952135304678409,0.0690987325047079,1.8802722992938123,1.0382194671546172,ok
N-O,N,O,side,2.55,0.030757388786642612,0.8369511861913523,0.03018192255725575,0.821291952351984,1.019066586241986,ok
N-O,N,O,side,2.85,0.01096772009059451,0.29844686762304967,0.010880438657341193,0.2960718188306903,1.0080218671325742,ok
N-O,N,O,side,3.1,0.004598050260286893,0.1251193216111323,0.004580692967983305,0.12464700562607486,1.0037892284911707,ok
O-O,O,O,end,1.75,0.16412736343563103,4.466133079982604,0.1534677851108966,4.176071176968893,1.0694580840990946,ok
O-O,O,O,end,2.0,0.06080920061870469,1.6547026453453457,0.05911633097413171,1.6086373155827618,1.028636243431849,ok
O-O,O,O,end,2.25,0.02220818552973631,0.6043155142722163,0.021953687952628947,0.5973902824028797,1.0115924749252385,ok
O-O,O,O,end,2.5,0.007996244470505662,0.21758889680427534,0.007959600842023953,0.2165917728762051,1.0046037017695966,ok
O-O,O,O,end,2.75,0.0028489971456291743,0.07752516174343278,0.0028439014543620586,0.07738650092017299,1.0017917960059057,ok
O-O,O,O,end,3.0,0.0010126609969486312,0.027555909524216476,0.001011970474828218,0.027537119460086516,1.000682354018807,ok
O-O,O,O,T,1.75,0.21440877095786057,5.834359881061918,0.19730016542903717,5.368811007886859,1.0867135893759643,ok
O-O,O,O,T,2.0,0.08638237502162692,2.350584171559276,0.08308330460363772,2.2608118921626588,1.0397079826534097,ok
O-O,O,O,T,2.25,0.0345282477735416,0.9395614865630155,0.033918385772637595,0.9229662960996656,1.017980277864402,ok
O-O,O,O,T,2.5,0.013675981567599117,0.372142416728952,0.013567122422017141,0.36918020847211264,1.0080237460970585,ok
O-O,O,O,T,2.75,0.005372283563320206,0.14618728306447884,0.005353462223001535,0.1456751283034003,1.003515732349395,ok
O-O,O,O,T,3.0,0.002102396289838657,0.05720911748493183,0.0020992300652413797,0.05712296012447377,1.0015082789874739,ok
O-O,O,O,side,1.75,0.4240615337114338,11.539302185887886,0.3675243137457836,10.000846056128193,1.1538325978747546,ok
O-O,O,O,side,2.0,0.18809471312479786,5.118317889667183,0.17386370502098983,4.7310724314846775,1.0818515175556047,ok
O-O,O,O,side,2.25,0.08252571529223295,2.245639114043389,0.07914704637439972,2.153700849122915,1.0426885028893014,ok
O-O,O,O,side,2.5,0.0357952239794731,0.9740376654670941,0.03503346788815179,0.9533092262409157,1.0217436679050245,ok
O-O,O,O,side,2.75,0.015360758087024603,0.41798752133721023,0.015196647251015718,0.41352183799142045,1.0107991475552554,ok
O-O,O,O,side,3.0,0.006535279640633774,0.17783401852682726,0.006501275773084336,0.1769087261530821,1.0052303376654497,ok
