path_index,grid_i,grid_j,donor_ch_A,forming_hh_A,grid_energy_eV,relative_to_reactant_eV,reactant_diag_eV,product_diag_eV,signed_gap_product_minus_reactant_eV,abs_gap_eV,coupling_eV,reactant_covalent_eV,reactant_wall_total_eV,reactant_unoccupied_hh_wall_eV,product_covalent_eV,product_wall_total_eV,product_unoccupied_breaking_ch_wall_eV,lowest_h_state_component_eV,mixing_lowering_from_lower_diagonal_eV,full_energy_eV,state_count,candidate_edge_count,donor_edge_active
10,2,14,1.08,1.2100000000000004,-15.289267963162956,2.1814408057707624e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.516041301973699,nan,-15.289267963162956,1,2,0
11,2,13,1.08,1.1700000000000004,-15.279513046726798,0.009754918617598918,-7.506281212437631,5.688778212681104,13.195059425118735,13.195059425118735,0.008262116216871285,-7.516041301891834,0.009760089454202942,0.009760089454202942,-3.787594175897299,9.476372388578403,9.476372388578403,-7.506286385778305,-5.173340674069493e-06,-15.279513046726798,2,3,1
12,3,13,1.12,1.1700000000000004,-15.266711697196419,0.022556268147978287,-7.493479570658445,4.785716008817387,12.279195579475832,12.279195579475832,0.008262116216869885,-7.503239660112646,0.009760089454201802,0.009760089454201802,-3.787594175890094,8.57331018470748,8.57331018470748,-7.49348512986084,-5.559202395311047e-06,-15.266711697196419,2,3,1
13,4,13,1.1600000000000001,1.1700000000000004,-15.2215089159755,0.0677590493688971,-7.448273975637596,3.9582036445820887,11.406477620219684,11.406477620219684,0.008262116216872263,-7.4580340650918,0.009760089454203742,0.009760089454203742,-3.787594175997397,7.745797820579486,7.745797820579486,-7.448279960178209,-5.98454061329079e-06,-15.2215089159755,2,3,1
14,5,13,1.2000000000000002,1.1700000000000004,-15.15061577482493,0.1386521905194673,-7.377380536438987,3.2019522864430314,10.57933282288202,10.57933282288202,0.008262116216871635,-7.38714062589319,0.009760089454203227,0.009760089454203227,-3.7875941759966114,6.989546462439643,6.989546462439643,-7.377386988880167,-6.4524411795829906e-06,-15.15061577482493,2,3,1
15,6,13,1.2400000000000002,1.1700000000000004,-15.059683187451363,0.22958477789303444,-7.286449984299591,2.5118301159254615,9.798280100225053,9.798280100225053,0.008262116216868624,-7.296210073753792,0.009760089454200774,0.009760089454200774,-3.7875941759233265,6.299424291848788,6.299424291848788,-7.2864569510851025,-6.966785511153262e-06,-15.059683187451363,2,3,1
16,7,13,1.2800000000000002,1.1700000000000004,-14.95345843279311,0.33580953255128776,-7.1802219919658254,1.8841638621593662,9.064385854125192,9.064385854125192,0.008262116216869324,-7.189982081420027,0.009760089454201345,0.009760089454201345,-3.787594175985668,5.671758038145034,5.671758038145034,-7.180229522813339,-7.5308475135926756e-06,-14.95345843279311,2,3,1
17,7,12,1.2800000000000002,1.1300000000000003,-14.845271072327991,0.443996893016406,-7.063819059061588,1.5379187494886857,8.601737808550274,8.601737808550274,0.266083821903269,-7.189982081431728,0.1261630223701396,0.1261630223701396,-4.115872896940824,5.65379164642951,5.65379164642951,-7.0720421626274845,-0.008223103565896395,-14.845271072327991,2,3,1
18,7,11,1.2800000000000002,1.0900000000000003,-14.678635509977651,0.6106324553667459,-6.806165101766276,0.6357434858392157,7.441908587605492,7.441908587605492,0.8651670725839808,-7.189982081431667,0.383816979665391,0.383816979665391,-4.782628673508929,5.418372159348145,5.418372159348145,-6.905422179085896,-0.09925707731961975,-14.678635509977651,2,3,1
19,7,10,1.2800000000000002,1.0500000000000003,-14.561569934250477,0.7276980310939205,-6.4244354721515595,-0.8336675145533157,5.590767957598244,5.590767957598244,1.4726255025012736,-7.189982081431751,0.7655466092801911,0.7655466092801911,-5.679330852973994,4.845663338420678,4.845663338420678,-6.788608022288727,-0.36417255013716776,-14.561569934250477,2,3,1
